horas_trabajo_totales,horas_visual,area,ciudad,etnia,condicion_actividad,empleo,desempleo,empleo_adecuado,personas_hogar,genero,edad,seguro,estado_civil,asiste_a_clases,nivel_educativo,rama_instruccion,como_busca_empleo,razon_dejo_trabajo,ocupacion_actual,tiempo_experiencia,ingreso_laboral,ingreso_per_capita
,0.0,1,Otavalo,No hay dato,9.0,,,,,1,15.0,6.0,Soltero(a),Si,5.0,Tecnología,No realizó ninguna gestión,,,,,770.75
,0.0,1,Otavalo,No hay dato,0.0,,,,,1,6.0,6.0,,Si,5.0,Ninguna,No realizó ninguna gestión,,,,,770.75
40.0,40.0,1,Otavalo,No hay dato,6.0,1.0,,,,2,62.0,6.0,Divorciado(a),No,9.0,Ciencias,,,Empleado privado,24.0,,
40.0,40.0,1,Otavalo,No hay dato,6.0,1.0,,,,1,34.0,6.0,Soltero(a),No,9.0,"Ingeniería, Industria y Construcción",,,Cuenta Propia,10.0,,
40.0,40.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,1,64.0,6.0,Casado(a),No,4.0,"Ingeniería, Industria y Construcción",,,Cuenta Propia,25.0,700.0,700.0
40.0,40.0,1,Otavalo,No hay dato,5.0,1.0,,,,2,62.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Trabajador del hogar no remunerado,25.0,,700.0
50.0,50.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,1,41.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Patrono,8.0,1500.0,600.0
30.0,30.0,1,Otavalo,No hay dato,5.0,1.0,,,,2,40.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Trabajador del hogar no remunerado,8.0,,600.0
,0.0,1,Otavalo,No hay dato,0.0,,,,,1,10.0,6.0,,Si,5.0,Ciencias,No realizó ninguna gestión,,,,,600.0
40.0,40.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,2,58.0,6.0,Soltero(a),No,9.0,Ciencias,,,Empleado de gobierno,18.0,875.0,725.0
20.0,20.0,1,Otavalo,No hay dato,2.0,1.0,,,,1,24.0,6.0,Soltero(a),No,8.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,2.0,300.0,725.0
40.0,40.0,1,Otavalo,No hay dato,4.0,1.0,,,,2,60.0,6.0,Soltero(a),No,8.0,Humanidades y Artes,,,Cuenta Propia,30.0,300.0,725.0
,0.0,1,Otavalo,No hay dato,9.0,,,,,2,85.0,6.0,Viudo(a),No,6.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,138.33333333333334
,0.0,1,Otavalo,No hay dato,9.0,,,,,2,57.0,6.0,Soltero(a),No,8.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,138.33333333333334
10.0,10.0,1,Otavalo,No hay dato,4.0,1.0,,,,2,51.0,6.0,Divorciado(a),No,6.0,Agricultura y Veterinaria,,,Cuenta Propia,5.0,80.0,138.33333333333334
20.0,20.0,1,Otavalo,No hay dato,2.0,1.0,,,,1,31.0,6.0,Divorciado(a),No,6.0,Agricultura y Veterinaria,,,Empleado privado,3.0,200.0,138.33333333333334
40.0,40.0,1,Otavalo,No hay dato,4.0,1.0,,,,1,29.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Cuenta Propia,1.0,250.0,138.33333333333334
,0.0,1,Otavalo,No hay dato,7.0,,Población con desempleo,,,2,22.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",Buscar por Internet,,,,,138.33333333333334
50.0,50.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,1,31.0,6.0,Unión libre,No,6.0,Agricultura y Veterinaria,,,Empleado privado,0.0,545.0,517.5
50.0,50.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,2,29.0,6.0,Unión libre,No,10.0,Humanidades y Artes,,,Empleado privado,0.0,490.0,517.5
40.0,40.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,1,58.0,6.0,Unión libre,No,8.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,8.0,700.0,230.0
,0.0,1,Otavalo,No hay dato,9.0,,,,,2,30.0,6.0,Unión libre,No,7.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,230.0
20.0,20.0,1,Otavalo,No hay dato,2.0,1.0,,,,1,31.0,6.0,Soltero(a),No,9.0,Educación,,,Empleado privado,6.0,150.0,230.0
,0.0,1,Otavalo,No hay dato,0.0,,,,,2,10.0,6.0,,Si,5.0,"Ingeniería, Industria y Construcción",No realizó ninguna gestión,,,,,230.0
,0.0,1,Otavalo,No hay dato,0.0,,,,,2,3.0,6.0,,,,Sin dato,,,,,,230.0
48.0,48.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,1,57.0,6.0,Casado(a),No,6.0,"Cs. Sociales, Comercio y Derecho",,,Patrono,10.0,1000.0,500.0
48.0,48.0,1,Otavalo,No hay dato,5.0,1.0,,,,2,60.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Trabajador del hogar no remunerado,10.0,,500.0
50.0,50.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,1,51.0,6.0,Unión libre,No,9.0,Ciencias,,,Cuenta Propia,30.0,580.0,532.6666666666666
45.0,45.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,2,50.0,6.0,Unión libre,No,6.0,Agricultura y Veterinaria,,,Empleado privado,14.0,1015.0,532.6666666666666
,0.0,1,Otavalo,No hay dato,0.0,,,,,2,11.0,6.0,,Si,5.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,532.6666666666666
40.0,40.0,1,Otavalo,No hay dato,4.0,1.0,,,,1,38.0,6.0,Casado(a),No,6.0,"Cs. Sociales, Comercio y Derecho",,,Jornalero o peón,9.0,400.0,173.33333333333334
20.0,20.0,1,Otavalo,No hay dato,4.0,1.0,,,,2,54.0,6.0,Casado(a),No,9.0,"Cs. Sociales, Comercio y Derecho",,,Cuenta Propia,9.0,120.0,173.33333333333334
,0.0,1,Otavalo,No hay dato,0.0,,,,,2,12.0,6.0,Soltero(a),Si,5.0,Salud y Bienestar,No realizó ninguna gestión,,,,,173.33333333333334
40.0,40.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,1,31.0,6.0,Casado(a),No,9.0,"Ingeniería, Industria y Construcción",,,Cuenta Propia,5.0,800.0,1475.0
50.0,50.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,2,31.0,6.0,Casado(a),No,10.0,Humanidades y Artes,,,Empleado de gobierno,2.0,2150.0,1475.0
40.0,40.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,1,33.0,6.0,Unión libre,No,6.0,Ciencias,,,Empleado privado,4.0,520.0,173.33333333333334
,0.0,1,Otavalo,No hay dato,9.0,,,,,2,29.0,6.0,Unión libre,No,7.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,173.33333333333334
,0.0,1,Otavalo,No hay dato,0.0,,,,,1,6.0,6.0,,Si,5.0,Educación,No realizó ninguna gestión,,,,,173.33333333333334
,0.0,1,Otavalo,No hay dato,9.0,,,,,1,53.0,6.0,Unión libre,No,6.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,266.6666666666667
,0.0,1,Otavalo,No hay dato,7.0,,Población con desempleo,,,2,40.0,6.0,Unión libre,No,6.0,Agricultura y Veterinaria,Buscar por Internet,Terminación contrato,Empleado de gobierno,,,266.6666666666667
,0.0,1,Otavalo,No hay dato,0.0,,,,,1,7.0,6.0,,Si,5.0,Humanidades y Artes,No realizó ninguna gestión,,,,,266.6666666666667
30.0,30.0,1,Otavalo,No hay dato,2.0,1.0,,,,2,42.0,6.0,Soltero(a),No,6.0,"Cs. Sociales, Comercio y Derecho",,,Cuenta Propia,1.0,130.0,120.0
24.0,24.0,1,Otavalo,No hay dato,2.0,1.0,,,,1,24.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Jornalero o peón,0.0,225.0,120.0
,0.0,1,Otavalo,No hay dato,0.0,,,,,2,12.0,6.0,Soltero(a),Si,5.0,Salud y Bienestar,No realizó ninguna gestión,,,,,120.0
,0.0,1,Otavalo,No hay dato,9.0,,,,,1,67.0,6.0,Casado(a),No,9.0,"Ingeniería, Industria y Construcción",No realizó ninguna gestión,,,,,695.0
40.0,40.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,2,57.0,6.0,Casado(a),No,9.0,Ciencias,,,Empleado de gobierno,30.0,920.0,695.0
40.0,40.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,1,53.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,30.0,1000.0,333.3333333333333
40.0,40.0,1,Otavalo,No hay dato,5.0,1.0,,,,2,57.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Trabajador del hogar no remunerado,30.0,,333.3333333333333
,0.0,1,Otavalo,No hay dato,9.0,,,,,2,24.0,6.0,Soltero(a),Si,9.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,333.3333333333333
,0.0,1,Otavalo,No hay dato,9.0,,,,,2,75.0,6.0,Divorciado(a),No,6.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,430.0
,0.0,1,Otavalo,No hay dato,7.0,,Población con desempleo,,,1,38.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,Hablar con amigos o parientes,Terminación contrato,Empleado privado,,,1.3333333333333333
,0.0,1,Otavalo,No hay dato,9.0,,,,,2,37.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,1.3333333333333333
,0.0,1,Otavalo,No hay dato,0.0,,,,,2,11.0,6.0,,Si,5.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,1.3333333333333333
,0.0,1,Otavalo,No hay dato,9.0,,,,,2,85.0,6.0,Viudo(a),No,4.0,Ciencias,No realizó ninguna gestión,,,,,600.0
48.0,48.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,1,38.0,6.0,Casado(a),No,10.0,Humanidades y Artes,,,Patrono,2.0,3500.0,1330.0
40.0,40.0,1,Otavalo,No hay dato,1.0,1.0,,1.0,,2,33.0,6.0,Casado(a),No,10.0,Humanidades y Artes,,,Empleado privado,3.0,1420.0,1330.0
,0.0,1,Otavalo,No hay dato,0.0,,,,,2,5.0,6.0,,No,1.0,Sin dato,No realizó ninguna gestión,,,,,1330.0
,0.0,1,Otavalo,No hay dato,0.0,,,,,1,0.0,6.0,,,,Sin dato,,,,,,1330.0
40.0,40.0,2,Otavalo,No hay dato,2.0,1.0,,,,1,47.0,6.0,Casado(a),No,4.0,"Ingeniería, Industria y Construcción",,,Jornalero o peón,8.0,90.0,84.28571428571429
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,40.0,6.0,Casado(a),No,4.0,Ciencias,No realizó ninguna gestión,,,,,84.28571428571429
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,19.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,84.28571428571429
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,16.0,6.0,Soltero(a),Si,7.0,Educación,No realizó ninguna gestión,,,,,84.28571428571429
,0.0,2,Otavalo,No hay dato,0.0,,,,,1,12.0,6.0,Soltero(a),Si,5.0,Salud y Bienestar,No realizó ninguna gestión,,,,,84.28571428571429
,0.0,2,Otavalo,No hay dato,0.0,,,,,2,9.0,6.0,,Si,5.0,Ciencias,No realizó ninguna gestión,,,,,84.28571428571429
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,35.0,6.0,Soltero(a),No,4.0,Agricultura y Veterinaria,,,Empleado privado,6.0,450.0,84.28571428571429
32.0,32.0,2,Otavalo,No hay dato,2.0,1.0,,,,1,53.0,6.0,Casado(a),No,4.0,"Ingeniería, Industria y Construcción",,,Jornalero o peón,10.0,240.0,142.85714285714286
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,47.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,142.85714285714286
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,2,27.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado(a) Doméstico(a),6.0,310.0,142.85714285714286
48.0,48.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,22.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,5.0,360.0,142.85714285714286
,0.0,2,Otavalo,No hay dato,0.0,,,,,1,12.0,6.0,Soltero(a),Si,5.0,Salud y Bienestar,No realizó ninguna gestión,,,,,142.85714285714286
,0.0,2,Otavalo,No hay dato,0.0,,,,,1,10.0,6.0,,Si,5.0,"Ingeniería, Industria y Construcción",No realizó ninguna gestión,,,,,142.85714285714286
,0.0,2,Otavalo,No hay dato,0.0,,,,,2,6.0,6.0,,Si,5.0,Educación,No realizó ninguna gestión,,,,,142.85714285714286
20.0,20.0,2,Otavalo,No hay dato,2.0,1.0,,,,2,30.0,6.0,Soltero(a),No,5.0,Salud y Bienestar,,,Cuenta Propia,1.0,50.0,87.5
,0.0,2,Otavalo,No hay dato,0.0,,,,,1,5.0,6.0,,Si,5.0,Ninguna,No realizó ninguna gestión,,,,,87.5
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,86.0,6.0,Viudo(a),No,1.0,Sin dato,No realizó ninguna gestión,,,,,
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,47.0,6.0,Casado(a),No,6.0,Humanidades y Artes,,,Jornalero o peón,33.0,330.0,186.0
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,45.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,186.0
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,25.0,6.0,Soltero(a),No,9.0,Ciencias,,,Jornalero o peón,2.0,200.0,186.0
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,24.0,6.0,Casado(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Jornalero o peón,4.0,300.0,186.0
,0.0,2,Otavalo,No hay dato,7.0,,Población con desempleo,,,2,18.0,6.0,Casado(a),No,7.0,Humanidades y Artes,Hablar con amigos o parientes,Terminación contrato,Empleado privado,,,186.0
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,45.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Jornalero o peón,25.0,300.0,147.5
20.0,20.0,2,Otavalo,No hay dato,2.0,1.0,,,,2,40.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Empleado(a) Doméstico(a),10.0,285.0,147.5
45.0,45.0,2,Otavalo,No hay dato,4.0,1.0,,,,2,24.0,6.0,Unión libre,No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,3.0,300.0,147.5
25.0,25.0,2,Otavalo,No hay dato,2.0,1.0,,,,1,26.0,6.0,Unión libre,No,7.0,"Cs. Sociales, Comercio y Derecho",,,Jornalero o peón,1.0,0.0,147.5
,0.0,2,Otavalo,No hay dato,0.0,,,,,1,5.0,6.0,,No,1.0,Sin dato,No realizó ninguna gestión,,,,,147.5
,0.0,2,Otavalo,No hay dato,0.0,,,,,2,3.0,6.0,,,,Sin dato,,,,,,147.5
,0.0,2,Otavalo,No hay dato,9.0,,,,,1,71.0,6.0,Casado(a),No,4.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,93.33333333333333
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,70.0,6.0,Casado(a),No,4.0,Humanidades y Artes,No realizó ninguna gestión,,,,,93.33333333333333
,0.0,2,Otavalo,No hay dato,9.0,,,,,1,85.0,6.0,Soltero(a),No,1.0,Sin dato,No realizó ninguna gestión,,,,,93.33333333333333
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,47.0,6.0,Casado(a),No,1.0,Sin dato,,,Empleado privado,25.0,120.0,63.333333333333336
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,45.0,6.0,Casado(a),No,1.0,Sin dato,No realizó ninguna gestión,,,,,63.333333333333336
,0.0,2,Otavalo,No hay dato,9.0,,,,,1,23.0,6.0,Soltero(a),No,5.0,Sin especificar,No realizó ninguna gestión,,,,,63.333333333333336
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,2,22.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,3.0,80.0,63.333333333333336
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,20.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,2.0,80.0,63.333333333333336
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,2,18.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,1.0,50.0,63.333333333333336
64.0,64.0,2,Otavalo,No hay dato,1.0,1.0,,1.0,,1,41.0,6.0,Unión libre,No,6.0,Agricultura y Veterinaria,,,Empleado de gobierno,4.0,1500.0,300.0
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,33.0,6.0,Unión libre,No,6.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,300.0
,0.0,2,Otavalo,No hay dato,0.0,,,,,1,9.0,6.0,,Si,5.0,Ciencias,No realizó ninguna gestión,,,,,300.0
,0.0,2,Otavalo,No hay dato,0.0,,,,,2,3.0,6.0,,,,Sin dato,,,,,,300.0
24.0,24.0,2,Otavalo,No hay dato,2.0,1.0,,,,1,67.0,6.0,Viudo(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,50.0,,300.0
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,59.0,6.0,Casado(a),No,4.0,"Ingeniería, Industria y Construcción",,,Cuenta Propia,25.0,350.0,70.0
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,56.0,6.0,Casado(a),No,4.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,70.0
40.0,40.0,2,Otavalo,No hay dato,5.0,1.0,,,,1,29.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Trabajador del hogar no remunerado,3.0,,70.0
40.0,40.0,2,Otavalo,No hay dato,5.0,1.0,,,,1,24.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Trabajador del hogar no remunerado,3.0,,70.0
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,15.0,6.0,Soltero(a),Si,5.0,Tecnología,No realizó ninguna gestión,,,,,70.0
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,63.0,6.0,Divorciado(a),No,4.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,157.0
32.0,32.0,2,Otavalo,No hay dato,2.0,1.0,,,,1,31.0,6.0,Soltero(a),No,6.0,Agricultura y Veterinaria,,,Empleado privado,12.0,180.0,157.0
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,2,27.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,12.0,200.0,157.0
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,27.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,12.0,200.0,157.0
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,22.0,6.0,Soltero(a),No,5.0,Servicios,,,Empleado privado,4.0,150.0,157.0
,0.0,2,Otavalo,No hay dato,9.0,,,,,1,78.0,6.0,Viudo(a),No,1.0,Sin dato,No realizó ninguna gestión,,,,,59.166666666666664
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,2,35.0,6.0,Separado(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,5.0,200.0,59.166666666666664
,0.0,2,Otavalo,No hay dato,9.0,,,,,1,16.0,6.0,Soltero(a),Si,5.0,Tecnología,No realizó ninguna gestión,,,,,59.166666666666664
,0.0,2,Otavalo,No hay dato,0.0,,,,,2,14.0,6.0,Soltero(a),Si,5.0,Servicios,No realizó ninguna gestión,,,,,59.166666666666664
,0.0,2,Otavalo,No hay dato,0.0,,,,,1,12.0,6.0,Soltero(a),Si,5.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,59.166666666666664
,0.0,2,Otavalo,No hay dato,0.0,,,,,1,10.0,6.0,,Si,5.0,"Ingeniería, Industria y Construcción",No realizó ninguna gestión,,,,,59.166666666666664
40.0,40.0,2,Otavalo,No hay dato,1.0,1.0,,1.0,,1,33.0,6.0,Unión libre,No,6.0,"Cs. Sociales, Comercio y Derecho",,,Jornalero o peón,20.0,500.0,117.4
27.0,27.0,2,Otavalo,No hay dato,2.0,1.0,,,,2,27.0,6.0,Unión libre,Si,5.0,Sin especificar,,,Ayudante no remunerado de asalariado/jornalero,1.0,30.0,117.4
,0.0,2,Otavalo,No hay dato,0.0,,,,,2,1.0,6.0,,,,Sin dato,,,,,,117.4
,0.0,2,Otavalo,No hay dato,0.0,,,,,1,8.0,6.0,,Si,5.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,117.4
,0.0,2,Otavalo,No hay dato,0.0,,,,,1,4.0,6.0,,,,Sin dato,,,,,,117.4
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,75.0,6.0,Viudo(a),No,1.0,Sin dato,No realizó ninguna gestión,,,,,100.0
,0.0,2,Otavalo,No hay dato,9.0,,,,,1,89.0,6.0,Soltero(a),No,1.0,Sin dato,No realizó ninguna gestión,,,,,100.0
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,24.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,4.0,380.0,196.25
40.0,40.0,2,Otavalo,No hay dato,5.0,1.0,,,,1,56.0,6.0,Casado(a),No,1.0,Sin dato,,,Trabajador del hogar no remunerado,24.0,,196.25
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,2,45.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,24.0,350.0,196.25
,0.0,2,Otavalo,No hay dato,0.0,,,,,2,13.0,6.0,Soltero(a),Si,5.0,Servicios,No realizó ninguna gestión,,,,,196.25
50.0,50.0,2,Otavalo,No hay dato,4.0,1.0,,,,2,54.0,6.0,Divorciado(a),No,4.0,"Cs. Sociales, Comercio y Derecho",,,Cuenta Propia,35.0,320.0,109.125
50.0,50.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,37.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,10.0,192.0,109.125
30.0,30.0,2,Otavalo,No hay dato,4.0,1.0,,,,2,34.0,6.0,Separado(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,8.0,240.0,109.125
40.0,40.0,2,Otavalo,No hay dato,5.0,1.0,,,,2,32.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Trabajador del hogar no remunerado,10.0,,109.125
,0.0,2,Otavalo,No hay dato,9.0,,,,,1,16.0,6.0,Soltero(a),Si,7.0,Educación,No realizó ninguna gestión,,,,,109.125
,0.0,2,Otavalo,No hay dato,0.0,,,,,1,11.0,6.0,,Si,5.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,109.125
,0.0,2,Otavalo,No hay dato,0.0,,,,,2,8.0,6.0,,Si,5.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,109.125
,0.0,2,Otavalo,No hay dato,0.0,,,,,1,3.0,6.0,,,,Sin dato,,,,,,109.125
50.0,50.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,46.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,15.0,260.0,145.0
40.0,40.0,2,Otavalo,No hay dato,5.0,1.0,,,,2,44.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Trabajador del hogar no remunerado,15.0,,145.0
48.0,48.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,24.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,1.0,350.0,145.0
48.0,48.0,2,Otavalo,No hay dato,4.0,1.0,,,,2,22.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,1.0,350.0,145.0
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,20.0,6.0,Soltero(a),Si,7.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,145.0
48.0,48.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,18.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,0.0,0.0,145.0
,0.0,2,Otavalo,No hay dato,0.0,,,,,2,11.0,6.0,,Si,5.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,145.0
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,67.0,6.0,Viudo(a),No,4.0,Humanidades y Artes,No realizó ninguna gestión,,,,,266.0
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,41.0,6.0,Separado(a),No,4.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,266.0
48.0,48.0,2,Otavalo,No hay dato,1.0,1.0,,1.0,,1,38.0,6.0,Separado(a),No,4.0,Agricultura y Veterinaria,,,Empleado privado,2.0,470.0,266.0
50.0,50.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,21.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,1.0,420.0,266.0
,0.0,2,Otavalo,No hay dato,0.0,,,,,1,12.0,6.0,Soltero(a),Si,5.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,266.0
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,68.0,6.0,Casado(a),No,4.0,Humanidades y Artes,,,Cuenta Propia,41.0,370.0,212.5
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,65.0,6.0,Casado(a),No,4.0,Educación,No realizó ninguna gestión,,,,,212.5
40.0,40.0,2,Otavalo,No hay dato,4.0,1.0,,,,1,64.0,6.0,Casado(a),No,4.0,Humanidades y Artes,,,Cuenta Propia,43.0,100.0,50.0
40.0,40.0,2,Otavalo,No hay dato,5.0,1.0,,,,2,59.0,6.0,Casado(a),No,1.0,Sin dato,,,Trabajador del hogar no remunerado,32.0,,50.0
,0.0,2,Otavalo,No hay dato,9.0,,,,,2,59.0,6.0,Divorciado(a),No,4.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,242.5
40.0,40.0,2,Otavalo,No hay dato,1.0,1.0,,1.0,,2,33.0,6.0,Separado(a),No,9.0,Ciencias,,,Empleado de gobierno,7.0,870.0,242.5
,0.0,2,Otavalo,No hay dato,0.0,,,,,1,2.0,6.0,,,,Sin dato,,,,,,242.5
,0.0,2,Otavalo,No hay dato,0.0,,,,,1,0.0,6.0,,,,Sin dato,,,,,,242.5
,0.0,2,Gonzalez suarez,No hay dato,9.0,,,,,1,57.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,95.0
20.0,20.0,2,Gonzalez suarez,No hay dato,4.0,1.0,,,,2,53.0,6.0,Casado(a),No,4.0,Humanidades y Artes,,,Cuenta Propia,5.0,90.0,95.0
48.0,48.0,2,Gonzalez suarez,No hay dato,1.0,1.0,,1.0,,1,42.0,6.0,Casado(a),No,6.0,Educación,,,Patrono,10.0,2150.0,587.5
