Value;Category
220453;San jose de payamino
210354;Santa elena
210250;Lumbaqui
180853;Marcos espinel (chacata)
180450;Mocha
180159;Pasa
170453;Tocachi
170356;Tambillo
170162;Guangopolo
131151;Barraganete
131054;Lascano
130351;Boyaca
130152;Alhajuela (bajo grande)
111151;El paraiso de celen
110653;Santa teresita
110152;Chuquiribamba
100152;Angochagua
80350;Muisne
80166;Tachina
71350;Zaruma
70652;La iberia
70651;Barbones (sucre)
60758;Santa fe de galan
40352;La libertad (alizo)
40253;Monte olivo
40158;Urbina (taya)
30358;San antonio
20551;Balsapamba
20156;San lorenzo
10153;Chaucha
230154;San jacinto del bua
220250;Nuevo rocafuerte
220157;Ines arango
220151;Dayuma
210752;Aguas negras
190351;Zurmi
180753;Cotalo
180652;Yanayacu - mochapata
170153;Atahualpa (habaspamba)
160350;Santa clara
160155;Fatima
150155;Puerto misahualli
140652;Huambi
140351;Indanza
120152;Caracol
111054;Mercadillo
111051;Ciano
111050;Alamor
110751;Changaimina (la libertad
110251;Colaisaca
100652;La merced de buenos aires
80753;Lagarto
80357;San gregorio
80352;Daule
80254;La tola
71150;Portovelo
70351;Ayapamba
70254;Palmales
70251;Chacras
60753;La providencia
60353;Juan de velasco (pangor)
60260;Tixan
50750;Sigchos
50350;El corazon
40154;Maldonado
30650;Deleg
30363;Ducur
30356;Ingapirca
30351;Chontamarca
30158;San miguel
30151;Cojitambo
10956;San jose de raranga
10955;San bartolome
10550;Paute
10166;Sidcay
210155;El eno
190952;Nuevo quito
180950;Tisaleo
180154;Constantino fernandez
170454;Tupigachi
160251;Madre tierra
160164;Teniente hugo ortiz
160162;Simon bolivar
150354;San pablo de ushpayacu
141051;Yaupi
110957;San antonio
100154;La esperanza
80652;Sua
71153;Salati
60159;Quimiag
50451;Angamarca
30254;Jerusalen
20251;San jose del tambo
20159;Simiatug
11551;El carmen de pijili
11450;Guachapala
11253;San vicente
10851;Abdon calderon
10552;Bulan
10450;Nabon
240155;Simon bolivar
210350;Puerto el carmen del putumayo
180252;Rio negro
170169;Nanegalito
140751;Chiguaza
131050;Pajan
130551;San francisco de novillo
130355;Eloy alfaro
110155;Jimbilla
100650;Urcuqui
80755;Rocafuerte
80751;Chontaduro
80452;Chura (chancama)
80260;Selva alegre
80165;Tabiazo
50456;Pilalo
40255;San rafael
10953;Guel
10451;Cochapata
170164;La merced
110354;Zambi
80553;Calderon
71351;Abañin
71256;Victoria
60153;Cubijies
30353;General morales
10154;Checa (jidcay)
170168;Nanegal
110455;Pozul (san juan de pozul
110450;Celica
60151;Cacha
30354;Gualleturo
10750;San fernando
60253;Guasuntos
10159;Octavio cordero palacios
220451;Avila
200251;Tomas de berlanga
80168;Vuelta larga
70956;Caña quemada
60255;Multitud
50252;Pucayacu
20151;Facundo vela
220159;Nuevo paraiso
80754;Montalvo
80258;San francisco de onzole
80163;San mateo
60154;Flores
140950;Taisha
60251;Achupallas
30651;Solano
60950;Penipe
900451;El piedrero
900351;Manga del cura
900151;Las golondrinas
240151;Atahualpa
230157;Santa maria del toachi
230151;Alluriquin
220454;San jose de dahuano
220452;Puerto murialdo
220357;Tres de noviembre
220356;Rumipamba
220355;Lago san pedro
220354;San sebastian del coca
220352;Pompeya
220255;Yasuni
220254;Tiputini
220253;Santa maria de huiririma
220252;Cononaco
220251;Capitan augusto ribadeneyra
220161;San luis de armenia
220160;San jose de guayusa
220158;La belleza
220156;Garcia moreno
220155;El eden
220154;El dorado
220153;Alejandro labaka
210751;Cuyabeno
210750;Tarapoa
210652;Sevilla
210651;Santa rosa de sucumbios
210554;Santa barbara
210553;Rosa florida
210552;La sofia
210551;El playon de san francis
210550;La bonita
210453;San roque
210452;Pañacocha
210451;Limoncocha
210353;Puerto rodriguez
210352;Puerto bolivar
210351;Palma roja
210254;Puerto libre
210252;Gonzalo pizarro
210251;El reventador
210157;Jambeli
210152;Dureno
190951;Bellavista
190950;Paquisha
190854;La canela
190853;Valladolid
190851;El porvenir del carmen
190653;Tundayme
190652;Pachicutza
190651;El guismi
190551;Chicaña
190452;Tutupali
190451;La paz
190352;Nuevo paraiso
190350;Guayzimi
190259;San andres
190256;Pucapamba
190254;La chonta
190252;El chorro
190156;Timbara
190155;Sabanilla
190153;Imbana
190152;Guadalupe
180856;San jose de poalo
180854;Presidente urbina
180852;Emilio maria teran
180851;Baquerizo moreno
180754;Chiquicha
180752;Bolivar
180651;Rumipamba
180553;Sucre
180552;Los andes
180550;Patate
180451;Pinguili
180254;Ulba
180253;Rio verde
180251;Lligua
180166;Totoras
180164;San fernando
180157;Juan benigno vela
170751;Mindo
170552;Rumipamba
170452;Malchingui
170451;La esperanza
170357;Uyumbicho
170354;El chaupi
170352;Aloasi
170254;Oton
170251;Ascazubi
170186;Zambiza
170183;Tababela
170174;Perucho
170172;Pacto
170166;Lloa
170161;Gualea
170158;Chavezpamba
160451;Curaray
160450;Arajuno
160351;San jose
160250;Mera
160165;Veracruz (indillama)
160161;Sarayacu
160159;Rio tigre
160158;Rio corrientes
160156;Montalvo (andoas)
160154;Diez de agosto
150756;Sumaco
150754;San francisco de borja
150753;Papallacta
150752;Cuyuja
150751;Cosanga
150750;Baeza
150454;Santa rosa
150453;Oyacachi
150452;Linares
150451;Gonzalo diaz de pineda
150157;Talag
150156;Puerto napo
150154;Pano
141251;San jose de morona
141150;Pablo vi
141052;Shimpis
141050;Logroño
140954;Pumpuentsa
140953;Tutinentza
140952;Macuma
140951;Huasaga
140854;Santiago de pananza
140853;San jacinto de wakambeis
140852;San carlos de limon
140851;Pan de azucar
140850;San juan bosco
140655;Santa marianita de jesus
140651;Asuncion
140557;San francisco de chinimb
140556;Tayuza
140554;San luis de el acho
140552;Chupianza
140551;Copal
140455;16 de agosto
140454;Sangay
140452;Cumanda
140451;Arapicos
140358;Yunganza
140357;Santa susana de chiviaza
140356;San miguel de conchay
140353;San antonio
140258;El ideal
140257;San miguel de cuyes
140256;Nueva tarqui
140255;El rosario
140254;Chiguinda
140253;Bomboiza
140252;Bermejos
140251;Amazonas (rosario de cuyes)
140164;Rio blanco
140162;Cuchaentza
140160;Zuña (zuñac)
140158;Sinai
140156;San isidro
140151;Alshi
131951;Machalilla
131753;Atahualpa
131653;Arq. Sixto duran ballen
131552;Angel pedro giler
131551;Bachillero
131355;San pablo
131053;Guale
130952;La pila
130851;San lorenzo
130657;Pedro pablo gomez
130656;Membrillal
130654;La union
130653;Julcuy
130651;America
130552;Zapallo
130354;Chibunga
130251;Membrillo
130154;Pueblo nuevo
120451;Puerto pechiche
111651;La tingue
111552;San antonio de las aradas
111551;Fundochamba
111452;12 de diciembre
111451;Chaquinal
111355;Bolaspamba
111354;Paletillas
111352;Garzareal
111351;Cazaderos
111252;Tacamoros
111250;Sozoranga
111158;Selva alegre
111157;San sebastian de yuluc
111156;San pablo de tenta
111155;San antonio de qumbe
111153;Lluzhapa
111152;El tablon
111055;Vicentino
111053;El limo (mariana de jesus)
111052;El arenal
110959;Yamana
110958;Casanga
110956;Orianga
110954;Lauro guerrero
110951;Cangonama
110853;Sabiango (la capilla)
110852;La victoria
110851;Larama
110756;Sacapalca
110754;Purunuma (eguiguren)
110750;Gonzanama
110655;El ingenio
110654;27 de abril
110652;Jimbura
110650;Amaluza
110554;Amarillos
110553;Santa rufina
110552;El rosario
110551;Buenavista
110457;Tnte. Maximiliano rodrig
110451;Cruzpamba
110353;San pedro de la bendita
110352;Guayquichuma
110254;Sangillin
110253;Utuana
110252;El lucero
110162;Yangana (arsenio castillo)
110159;Santiago
110158;San pedro de vilcabamba
110151;Chantaco
100655;Tumbabiro
100654;San blas
100653;Pablo arenas
100651;Cahuasqui
100553;San francisco de sigsipa
100551;Chuga
100459;Selva alegre
100454;Pataqui
100358;Vacas galindo (el churo)
100357;6 de julio de cuellaje
100355;Plaza gutierrez
100352;Garcia moreno
100351;Apuela
100251;Imbaya
100155;Lita
92750;General antonio elizalde
92350;Coronel marcelino maridueña
91153;Santa rosa de flandes
91053;Mariscal sucre (huaques)
90652;Juan bautista aguirre
90153;Morro
80750;Rioverde
80651;La union
80562;Urbina
80561;Tululbi
80559;Santa rita
80558;San javier de cachavi
80556;Concepcion
80555;5 de junio
80554;Carondelet
80552;Ancon (pichangal)
80551;Alto tambo
80356;San francisco
80355;Salima
80354;Quingue (olmedo perdomo
80353;Galera
80351;Bolivar
80264;Timbire
80263;San jose de cayapas
80261;Telembi
80259;Santo domingo de onzole
80257;Pampanal de bolivar
80256;Maldonado
80255;Luis vargas torres
80152;Camarones
71453;San isidro
71452;El paraiso
71451;La libertad
71450;La victoria
71358;Sinsao
71357;Muluncay grande
71356;Malvas
71354;Guizhaguiña
71352;Arcapamba
71257;Bellamaria
71255;Torata
71253;La avanzada
71251;Bellavista
71152;Morales
71151;Curtincapa
71056;Saracay
71055;San roque
71054;Piedras
71052;La bocana
70955;Uzhcurrumi
70952;Casacay
70851;El ingenio
70654;Rio bonito
70550;Chilla
70451;Bellamaria
70355;Cerro azul
70354;San jose
70353;Milagro
70352;Cordoncillo
70350;Paccha
70255;Carcabon
60956;Bilbao
60955;La candelaria
60953;Puela
60952;Matus
60951;El altar
60759;Valparaiso
60757;San jose del chazo
60756;San isidro de patulu
60755;San gerardo de pacaicaguan
60752;Ilapo
60751;Guanando
60554;Llagos
60553;Gonzol
60552;Compud
60551;Capzol
60351;Cañi
60258;Sevilla
60257;Pumallacta (pumal-lacta)
60256;Pistishi (nariz del diablo)
60254;Huigra
50754;Palo quemado
50753;Las pampas
50652;Chantilin
50551;Antonio jose holguin
50457;Tingo
50455;La victoria
50453;Guangaje
50353;Ramon campaña
50352;Pinllopata
50251;Guasaganda
50157;11 de noviembre (ilinchi
50154;Joseguango bajo
50152;Belisario quevedo
40651;Mariscal sucre
40555;Piartal
40553;Fernandez salvador
40552;Chitan de navarrete
40453;Juan montalvo
40452;Jijon y caamaño
40351;El goaltal
40254;San vicente de pusir
40252;Los andes
40159;El chical
40157;Tufiño
40156;Tobar donoso (la bocana)
40155;Pioter
40151;El carmelo (el pun)
30750;Suscal
30362;Ventura
30361;Zhud
30357;Juncal
30352;Chorocopte
30253;Turupamba
30252;San francisco de sageo
30160;Taday
30157;Rivera
30156;Pindilig
30155;Luis cordero
20556;San vicente
20553;Regulo de mora
20552;Bilovan
20354;San sebastian
20353;Magdalena (chapacoto)
20160;San luis de pambil
20157;San simon (yacoto)
20153;Julio e. Moreno
11352;Palmas
11350;Sevilla de oro
11250;El pan
11154;San martin de puzhio
11153;Luis galarza orellana
11152;La union
11151;Principal
11051;Susudel
11050;Oña
10954;Ludo
10952;Gima
10751;Chumblin
10652;San rafael de sharug
10562;Dug-dug
10561;Tomebamba
10556;Guarainag
10553;Chican
10452;El progreso
10360;Simon bolivar
10359;Luis cordero vega
10356;Remigio crespo toral
10352;Daniel cordova toral
10252;San gerardo
10251;Asuncion
10171;Victoria del portete
