horas_trabajo_totales,area,ciudad,etnia,condicion_actividad,empleo_adecuado,desempleado,personas_hogar,genero,edad,seguro,estado_civil,asiste_a_clases,nivel_educativo,como_busca_empleo,razon_dejo_trabajo,ocupacion_actual,tiempo_experiencia
50.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,56.0, Ninguno, Divorciado(a), No,10.0,,,2,4.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Hombre,26.0, Ninguno, Soltero(a), No,9.0,,,2,4.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Mujer,51.0, Seguro privado con hospitalización, Soltero(a), No,10.0,,,2,20.0
4.0, Urbana,Cuenca,,2.0,,,Persona 2, Hombre,26.0, Ninguno, Soltero(a), No,9.0,,,6,0.0
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,48.0, Ninguno, Soltero(a), No,9.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,73.0, Ninguno, Divorciado(a), No,10.0,,,6,47.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,55.0, Ninguno, Unión libre, No,10.0,,,1,15.0
44.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,50.0, Ninguno, Unión libre, No,10.0,,,6,18.0
, Urbana,Cuenca,,0.0,,,Persona 3, Mujer,7.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,65.0, Ninguno, Divorciado(a), No,9.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,35.0, Ninguno, Casado(a), No,10.0,,,2,2.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,31.0, Ninguno, Casado(a), No,9.0,,,2,5.0
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,91.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,82.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,72.0, Ninguno, Casado(a), No,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,60.0, Ninguno, Casado(a), No,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 3, Mujer,18.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
10.0, Urbana,Cuenca,,4.0,,,Persona 1, Hombre,64.0, Ninguno, Casado(a), No,10.0,,,6,37.0
10.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,59.0, Ninguno, Casado(a), No,6.0,,,5,20.0
, Urbana,Cuenca,,9.0,,,Persona 3, Mujer,34.0, Ninguno, Soltero(a), No,1.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,7.0,,1.0,Persona 4, Hombre,26.0, Ninguno, Soltero(a), No,9.0, Buscar por Internet, Renuncia voluntaria,2,
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,66.0, Ninguno, Viudo(a), No,4.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Hombre,44.0, Ninguno, Casado(a), No,6.0,,,6,20.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 3, Hombre,32.0, Ninguno, Separado(a), No,6.0,,,2,3.0
20.0, Urbana,Cuenca,,1.0,1.0,,Persona 4, Mujer,35.0, Ninguno, Casado(a), No,4.0,,,10,3.0
, Urbana,Cuenca,,9.0,,,Persona 5, Hombre,21.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 6, Mujer,18.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 7, Hombre,15.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,51.0, Ninguno, Casado(a), No,6.0,,,6,30.0
20.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,48.0, Ninguno, Casado(a), No,6.0,,,6,25.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 3, Hombre,28.0, Ninguno, Soltero(a), No,,,,2,5.0
40.0, Urbana,Cuenca,,4.0,,,Persona 4, Hombre,26.0, Ninguno, Soltero(a), No,,,,6,8.0
